supplier_id,tau,R_j,Q_j,r_j,P_j_tau
0,0,3372000,1500000,2.668e-05,862.655137316184
0,1,3372000,1500000,2.668e-05,926.999544610396
1,0,2370800,1500000,1.2657e-05,809.027681617546
1,1,2370800,1500000,1.2657e-05,890.173310375644
2,0,3084000,1500000,5.0495e-05,923.901352185627
2,1,3084000,1500000,5.0495e-05,921.58464098149
3,0,1595000,1500000,4.0903e-05,906.078369011097
3,1,1595000,1500000,4.0903e-05,902.216839585853
4,0,4322300,1500000,2.6832e-05,877.099033801412
4,1,4322300,1500000,2.6832e-05,879.055731269075
5,0,1023800,1500000,3.0158e-05,980.058049540208
5,1,1023800,1500000,3.0158e-05,941.096515250571
6,0,1470100,1500000,3.3264e-05,897.130787961898
6,1,1470100,1500000,3.3264e-05,893.248166038709
7,0,4764500,1500000,4.9552e-05,921.652599746401
7,1,4764500,1500000,4.9552e-05,907.039294521821
8,0,4197300,1500000,8.518e-06,964.597013055741
8,1,4197300,1500000,8.518e-06,864.525103076194
9,0,3499600,1500000,7.5602e-05,996.559651109868
9,1,3499600,1500000,7.5602e-05,906.757771338357
10,0,1138500,1500000,4.93e-05,888.146004919284
10,1,1138500,1500000,4.93e-05,971.283956662678
11,0,1053900,1500000,3.8068e-05,838.189029534034
11,1,1053900,1500000,3.8068e-05,858.504465921158
12,0,1915000,1500000,6.444e-05,964.873022482284
12,1,1915000,1500000,6.444e-05,967.958292153106
13,0,3042000,1500000,7.7119e-05,942.604205921404
13,1,3042000,1500000,7.7119e-05,915.347771927319
14,0,1915400,1500000,5.0812e-05,987.987088966828
14,1,1915400,1500000,5.0812e-05,960.342824182875
15,0,2362700,1500000,4.3896e-05,868.562596412867
15,1,2362700,1500000,4.3896e-05,936.74678856498
