supplier_id,R_j,supplier_type,z_j,l_j,u_j,r_j,Q_j,P_j_tau0,P_j_tau1
0,3372000,J1,0.54,100000,2000000,2.668e-05,1500000,862.655137316184,926.999544610396
1,2370800,J1,0.49,100000,2000000,1.2657e-05,1500000,809.027681617546,890.173310375644
2,3084000,J1,0.34,100000,2000000,5.0495e-05,1500000,923.901352185627,921.58464098149
3,1595000,J1,0.62,100000,2000000,4.0903e-05,1500000,906.078369011097,902.216839585853
4,4322300,J1,0.61,100000,2000000,2.6832e-05,1500000,877.099033801412,879.055731269075
5,1023800,J1,0.65,100000,2000000,3.0158e-05,1500000,980.058049540208,941.096515250571
6,1470100,J1,0.37,100000,2000000,3.3264e-05,1500000,897.130787961898,893.248166038709
7,4764500,J1,0.31,100000,2000000,4.9552e-05,1500000,921.652599746401,907.039294521821
8,4197300,J1,0.32,100000,2000000,8.518e-06,1500000,964.597013055741,864.525103076194
9,3499600,J1,0.42,100000,2000000,7.5602e-05,1500000,996.559651109868,906.757771338357
10,1138500,J1,0.26,100000,2000000,4.93e-05,1500000,888.146004919284,971.283956662678
11,1053900,J1,0.45,100000,2000000,3.8068e-05,1500000,838.189029534034,858.504465921158
12,1915000,J1,0.26,100000,2000000,6.444e-05,1500000,964.873022482284,967.958292153106
13,3042000,J2,0.76,100000,2000000,7.7119e-05,1500000,942.604205921404,915.347771927319
14,1915400,long_contract,0.26,100000,2000000,5.0812e-05,1500000,987.987088966828,960.342824182875
15,2362700,long_contract,0.93,100000,2000000,4.3896e-05,1500000,868.562596412867,936.74678856498
