instance_name,algorithm_name,base_id,period,total_purchase_qty,total_iron_qty,weighted_average_grade,min_required_grade,grade_surplus,average_unit_iron_cost,high_grade_purchase_share,low_grade_purchase_share,low_unit_iron_cost_purchase_share,high_unit_iron_cost_purchase_share,high_grade_threshold,unit_iron_cost_threshold
case_4x30,ga_greedy_only,ALL,ALL,4984346.418737,3951626.096268,0.792807,,,1136.974176,0.879623,0.120377,0.879623,0.120377,0.543751,1995.490452
case_4x30,ga_greedy_only,0,ALL,2391601.316889,1931922.294652,0.807794,0.300000,0.507794,1105.807324,0.916374,0.083626,0.916374,0.083626,0.543751,1995.490452
case_4x30,ga_greedy_only,1,ALL,826030.561568,579502.977559,0.701551,0.300000,0.401551,1286.171611,0.757878,0.242122,0.757878,0.242122,0.543751,1995.490452
case_4x30,ga_greedy_only,2,ALL,1084527.360222,932712.001369,0.860017,0.300000,0.560017,1029.852306,1.000000,0.000000,1.000000,0.000000,0.543751,1995.490452
case_4x30,ga_greedy_only,3,ALL,682187.180058,507488.822688,0.743914,0.300000,0.443914,1282.130935,0.706825,0.293175,0.706825,0.293175,0.543751,1995.490452
case_4x30,ga_greedy_only,0,0,599998.000000,372819.555293,0.621368,0.300000,0.321368,1503.987141,0.833333,0.166667,0.833333,0.166667,0.543751,1995.490452
case_4x30,ga_greedy_only,0,1,1791603.316889,1559102.739360,0.870228,0.300000,0.570228,1010.592802,0.944184,0.055816,0.944184,0.055816,0.543751,1995.490452
case_4x30,ga_greedy_only,1,0,426030.561568,289509.689583,0.679551,0.300000,0.379551,1322.586958,0.765275,0.234725,0.765275,0.234725,0.543751,1995.490452
case_4x30,ga_greedy_only,1,1,400000.000000,289993.287976,0.724983,0.300000,0.424983,1249.816990,0.750000,0.250000,0.750000,0.250000,0.543751,1995.490452
case_4x30,ga_greedy_only,2,0,479745.999487,428714.557705,0.893628,0.300000,0.593628,956.119539,1.000000,0.000000,1.000000,0.000000,0.543751,1995.490452
case_4x30,ga_greedy_only,2,1,604781.360734,503997.443664,0.833355,0.300000,0.533355,1092.571494,1.000000,0.000000,1.000000,0.000000,0.543751,1995.490452
case_4x30,ga_greedy_only,3,0,482187.180058,406540.885865,0.843118,0.300000,0.543118,1127.093492,0.792612,0.207388,0.792612,0.207388,0.543751,1995.490452
case_4x30,ga_greedy_only,3,1,200000.000000,100947.936823,0.504740,0.300000,0.204740,1906.502875,0.500000,0.500000,0.500000,0.500000,0.543751,1995.490452
