instance_name,algorithm_name,base_id,period,total_purchase_qty,total_iron_qty,weighted_average_grade,min_required_grade,grade_surplus,average_unit_iron_cost,high_grade_purchase_share,low_grade_purchase_share,low_unit_iron_cost_purchase_share,high_unit_iron_cost_purchase_share,high_grade_threshold,unit_iron_cost_threshold
case_4x35,ga_greedy,ALL,ALL,5311860.266158,4052049.948814,0.762831,,,1173.076998,0.792916,0.207084,0.830568,0.169432,0.579395,1880.101519
case_4x35,ga_greedy,0,ALL,2450843.850332,1885442.764576,0.769304,0.300000,0.469304,1154.591395,0.795989,0.204011,0.836791,0.163209,0.579395,1880.101519
case_4x35,ga_greedy,1,ALL,1008081.225218,604583.976060,0.599737,0.300000,0.299737,1541.237568,0.603207,0.396793,0.603207,0.396793,0.579395,1880.101519
case_4x35,ga_greedy,2,ALL,1069410.869844,938417.492179,0.877509,0.300000,0.577509,1006.299862,0.906491,0.093509,1.000000,0.000000,0.579395,1880.101519
case_4x35,ga_greedy,3,ALL,783524.320764,623605.715999,0.795898,0.300000,0.495898,1123.007135,0.872372,0.127628,0.872372,0.127628,0.579395,1880.101519
case_4x35,ga_greedy,0,0,636139.711381,380161.611816,0.597607,0.300000,0.297607,1504.759192,0.528407,0.471593,0.685605,0.314395,0.579395,1880.101519
case_4x35,ga_greedy,0,1,1814704.138951,1505281.152760,0.829491,0.300000,0.529491,1066.155853,0.889789,0.110211,0.889789,0.110211,0.579395,1880.101519
case_4x35,ga_greedy,1,0,508294.072307,289510.990052,0.569574,0.300000,0.269574,1558.722082,0.606527,0.393473,0.606527,0.393473,0.579395,1880.101519
case_4x35,ga_greedy,1,1,499787.152911,315072.986009,0.630414,0.300000,0.330414,1525.171579,0.599830,0.400170,0.599830,0.400170,0.579395,1880.101519
case_4x35,ga_greedy,2,0,437607.994307,400714.297705,0.915692,0.300000,0.615692,919.766911,1.000000,0.000000,1.000000,0.000000,0.579395,1880.101519
case_4x35,ga_greedy,2,1,631802.875537,537703.194474,0.851062,0.300000,0.551062,1070.787093,0.841723,0.158277,1.000000,0.000000,0.579395,1880.101519
case_4x35,ga_greedy,3,0,557843.105532,406542.382169,0.728775,0.300000,0.428775,1236.401205,0.820738,0.179262,0.820738,0.179262,0.579395,1880.101519
case_4x35,ga_greedy,3,1,225681.215232,217063.333830,0.961814,0.300000,0.661814,910.629050,1.000000,0.000000,1.000000,0.000000,0.579395,1880.101519
