instance_name,algorithm_name,supplier_id,total_purchase_qty,purchase_share,cumulative_purchase_share,rank
case_4x35,ga_greedy,29,1340385.354183,0.252338,0.252338,1
case_4x35,ga_greedy,30,637395.147218,0.119995,0.372333,2
case_4x35,ga_greedy,15,431802.875537,0.081290,0.453623,3
case_4x35,ga_greedy,32,293983.816913,0.055345,0.508968,4
case_4x35,ga_greedy,23,208294.072307,0.039213,0.548181,5
case_4x35,ga_greedy,14,200000.000000,0.037652,0.585833,6
case_4x35,ga_greedy,22,200000.000000,0.037652,0.623484,7
case_4x35,ga_greedy,21,200000.000000,0.037652,0.661136,8
case_4x35,ga_greedy,20,200000.000000,0.037652,0.698787,9
case_4x35,ga_greedy,19,200000.000000,0.037652,0.736439,10
case_4x35,ga_greedy,18,200000.000000,0.037652,0.774091,11
case_4x35,ga_greedy,25,200000.000000,0.037652,0.811742,12
case_4x35,ga_greedy,16,200000.000000,0.037652,0.849394,13
case_4x35,ga_greedy,17,200000.000000,0.037652,0.887045,14
case_4x35,ga_greedy,24,200000.000000,0.037652,0.924697,15
case_4x35,ga_greedy,11,100000.000000,0.018826,0.943523,16
case_4x35,ga_greedy,9,100000.000000,0.018826,0.962349,17
case_4x35,ga_greedy,4,100000.000000,0.018826,0.981174,18
case_4x35,ga_greedy,10,99999.000000,0.018826,1.000000,19
case_4x35,ga_greedy,26,0.000000,0.000000,1.000000,20
case_4x35,ga_greedy,28,0.000000,0.000000,1.000000,21
case_4x35,ga_greedy,31,0.000000,0.000000,1.000000,22
case_4x35,ga_greedy,33,0.000000,0.000000,1.000000,23
case_4x35,ga_greedy,27,0.000000,0.000000,1.000000,24
case_4x35,ga_greedy,0,0.000000,0.000000,1.000000,25
case_4x35,ga_greedy,1,0.000000,0.000000,1.000000,26
case_4x35,ga_greedy,13,0.000000,0.000000,1.000000,27
case_4x35,ga_greedy,12,0.000000,0.000000,1.000000,28
case_4x35,ga_greedy,8,0.000000,0.000000,1.000000,29
case_4x35,ga_greedy,7,0.000000,0.000000,1.000000,30
case_4x35,ga_greedy,6,0.000000,0.000000,1.000000,31
case_4x35,ga_greedy,5,0.000000,0.000000,1.000000,32
case_4x35,ga_greedy,3,0.000000,0.000000,1.000000,33
case_4x35,ga_greedy,2,0.000000,0.000000,1.000000,34
case_4x35,ga_greedy,34,0.000000,0.000000,1.000000,35
