instance_name,algorithm_name,supplier_id,total_purchase_qty,total_iron_qty,purchase_share,iron_share,served_base_count,served_period_count,average_purchase_qty_per_active_period,supplier_grade,average_price,average_transport_cost_weighted,average_unit_iron_cost_weighted,is_long_contract_supplier,long_contract_min_qty,long_contract_surplus,reached_discount_threshold
case_4x35,ga_greedy,0,0.000000,0.000000,0.000000,0.000000,0,0,,0.540000,,,,0,,,0
case_4x35,ga_greedy,1,0.000000,0.000000,0.000000,0.000000,0,0,,0.490000,,,,0,,,0
case_4x35,ga_greedy,2,0.000000,0.000000,0.000000,0.000000,0,0,,0.340000,,,,0,,,0
case_4x35,ga_greedy,3,0.000000,0.000000,0.000000,0.000000,0,0,,0.620000,,,,0,,,0
case_4x35,ga_greedy,4,100000.000000,61000.000000,0.018826,0.015054,1,1,100000.000000,0.610000,876.372531,26.000000,1479.299232,0,,,0
case_4x35,ga_greedy,5,0.000000,0.000000,0.000000,0.000000,0,0,,0.650000,,,,0,,,0
case_4x35,ga_greedy,6,0.000000,0.000000,0.000000,0.000000,0,0,,0.370000,,,,0,,,0
case_4x35,ga_greedy,7,0.000000,0.000000,0.000000,0.000000,0,0,,0.310000,,,,0,,,0
case_4x35,ga_greedy,8,0.000000,0.000000,0.000000,0.000000,0,0,,0.320000,,,,0,,,0
case_4x35,ga_greedy,9,100000.000000,42000.000000,0.018826,0.010365,1,1,100000.000000,0.420000,899.197571,20.357307,2189.416376,0,,,0
case_4x35,ga_greedy,10,99999.000000,25999.740000,0.018826,0.006416,1,1,99999.000000,0.260000,883.216054,10.000000,3435.446362,0,,,0
case_4x35,ga_greedy,11,100000.000000,45000.000000,0.018826,0.011105,1,1,100000.000000,0.450000,834.382230,21.373025,1901.678344,0,,,0
case_4x35,ga_greedy,12,0.000000,0.000000,0.000000,0.000000,0,0,,0.260000,,,,0,,,0
case_4x35,ga_greedy,13,0.000000,0.000000,0.000000,0.000000,0,0,,0.760000,,,,0,,,0
case_4x35,ga_greedy,14,200000.000000,52000.000000,0.037652,0.012833,1,2,100000.000000,0.260000,969.083757,11.000000,3769.552910,1,200000.000000,0.000000,0
case_4x35,ga_greedy,15,431802.875537,401576.674249,0.081290,0.099105,1,1,431802.875537,0.930000,917.792370,13.092965,1000.951972,1,200000.000000,231802.875537,0
case_4x35,ga_greedy,16,200000.000000,136000.000000,0.037652,0.033563,1,2,100000.000000,0.680000,835.743087,11.381716,1245.771769,1,200000.000000,0.000000,0
case_4x35,ga_greedy,17,200000.000000,158000.000000,0.037652,0.038993,1,2,100000.000000,0.790000,819.590558,30.498162,1076.061671,1,200000.000000,0.000000,0
case_4x35,ga_greedy,18,200000.000000,90000.000000,0.037652,0.022211,2,2,100000.000000,0.450000,903.103676,15.525968,2041.399209,1,200000.000000,0.000000,0
case_4x35,ga_greedy,19,200000.000000,154000.000000,0.037652,0.038005,1,2,100000.000000,0.770000,893.450796,16.990869,1182.391772,1,200000.000000,0.000000,0
case_4x35,ga_greedy,20,200000.000000,77895.873645,0.037652,0.019224,2,2,100000.000000,0.389479,929.167176,22.500000,2443.434116,1,200000.000000,0.000000,0
case_4x35,ga_greedy,21,200000.000000,134362.958692,0.037652,0.033159,2,2,100000.000000,0.671815,954.886726,10.500000,1436.983430,1,200000.000000,0.000000,0
case_4x35,ga_greedy,22,200000.000000,163260.833671,0.037652,0.040291,2,2,100000.000000,0.816304,852.307352,16.000000,1063.705645,1,200000.000000,0.000000,0
case_4x35,ga_greedy,23,208294.072307,157367.792534,0.039213,0.038837,1,1,208294.072307,0.755508,798.786894,13.000000,1074.491771,1,200000.000000,8294.072307,0
case_4x35,ga_greedy,24,200000.000000,122286.395037,0.037652,0.030179,2,2,100000.000000,0.611432,932.997030,22.000000,1561.902335,1,200000.000000,0.000000,0
case_4x35,ga_greedy,25,200000.000000,108992.206779,0.037652,0.026898,2,2,100000.000000,0.544961,935.280496,10.500000,1735.501141,1,200000.000000,0.000000,0
case_4x35,ga_greedy,26,0.000000,0.000000,0.000000,0.000000,0,0,,0.637902,,,,0,,,0
case_4x35,ga_greedy,27,0.000000,0.000000,0.000000,0.000000,0,0,,0.337051,,,,0,,,0
case_4x35,ga_greedy,28,0.000000,0.000000,0.000000,0.000000,0,0,,0.306272,,,,0,,,0
case_4x35,ga_greedy,29,1340385.354183,1289201.289072,0.252338,0.318160,2,1,1340385.354183,0.961814,856.855695,17.336741,908.899756,0,,,0
case_4x35,ga_greedy,30,637395.147218,583657.867545,0.119995,0.144040,2,2,318697.573609,0.915692,858.306674,10.313443,948.593822,1,200000.000000,437395.147218,0
case_4x35,ga_greedy,31,0.000000,0.000000,0.000000,0.000000,0,0,,0.864023,,,,0,,,0
case_4x35,ga_greedy,32,293983.816913,249448.317592,0.055345,0.061561,2,1,293983.816913,0.848510,862.606032,26.278919,1047.582895,0,,,0
case_4x35,ga_greedy,33,0.000000,0.000000,0.000000,0.000000,0,0,,0.712722,,,,0,,,0
case_4x35,ga_greedy,34,0.000000,0.000000,0.000000,0.000000,0,0,,0.625333,,,,0,,,0
