instance_name,algorithm_name,base_id,supplier_id,total_purchase_qty,total_iron_qty,purchase_share_in_base,is_selected
case_5x30,ga_greedy_only,0,0,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,1,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,2,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,3,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,4,100000.000000,61000.000000,0.043542,1
case_5x30,ga_greedy_only,0,5,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,6,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,7,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,8,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,9,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,10,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,11,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,12,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,13,100000.000000,76000.000000,0.043542,1
case_5x30,ga_greedy_only,0,14,100000.000000,26000.000000,0.043542,1
case_5x30,ga_greedy_only,0,15,343184.528834,319161.611816,0.149428,1
case_5x30,ga_greedy_only,0,16,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,17,100000.000000,79000.000000,0.043542,1
case_5x30,ga_greedy_only,0,18,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,19,100000.000000,77000.000000,0.043542,1
case_5x30,ga_greedy_only,0,20,100000.000000,38947.936823,0.043542,1
case_5x30,ga_greedy_only,0,21,100000.000000,67181.479346,0.043542,1
case_5x30,ga_greedy_only,0,22,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,23,100000.000000,75550.778181,0.043542,1
case_5x30,ga_greedy_only,0,24,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,25,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,26,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,27,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,28,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,0,29,1153469.642434,1109423.156029,0.502239,1
case_5x30,ga_greedy_only,1,0,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,1,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,2,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,3,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,4,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,5,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,6,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,7,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,8,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,9,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,10,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,11,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,12,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,13,99999.000000,75999.240000,0.124939,1
case_5x30,ga_greedy_only,1,14,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,15,88186.536629,82013.479065,0.110180,1
case_5x30,ga_greedy_only,1,16,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,1,17,0.000000,0.000000,0.000000,0
