instance_name,algorithm_name,base_id,period,beginning_inventory_weight,beginning_inventory_iron,purchase_qty,purchase_iron_qty,production_demand,ending_inventory_weight,ending_inventory_iron,safety_stock,safety_stock_redundancy,capacity,capacity_utilization,inventory_cost,weighted_average_grade_after_purchase
case_5x30,ga_greedy_only,0,0,300000.000000,200000.000000,443184.528834,380161.611816,380161.611816,256199.139584,200000.000000,44008.080591,3.544620,500000000,0.000512,26756318.624061,0.780643
case_5x30,ga_greedy_only,0,1,256199.139584,200000.000000,1853469.642434,1549103.350378,1652104.166682,116994.887512,96999.183696,42605.208334,1.276698,500000000,0.000234,63573006.838498,0.829089
case_5x30,ga_greedy_only,1,0,200000.000000,150000.000000,288185.536629,212508.822454,289510.990052,98305.155011,72997.832403,14475.549503,4.042837,500000000,0.000197,17210252.556102,0.742564
case_5x30,ga_greedy_only,1,1,98305.155011,72997.832403,512198.780291,391070.556009,391072.986009,96028.907675,72995.402403,19553.649300,2.733083,500000000,0.000192,28692082.922786,0.760140
case_5x30,ga_greedy_only,2,0,300000.000000,200000.000000,596754.533240,397532.494095,493714.557705,155806.095919,103817.936390,34685.727885,1.993102,500000000,0.000312,29976101.927552,0.666328
case_5x30,ga_greedy_only,2,1,155806.095919,103817.936390,566239.911223,475703.814474,537703.194474,52103.172350,41818.556390,26885.159724,0.555451,500000000,0.000104,30305321.757921,0.802611
case_5x30,ga_greedy_only,3,0,260000.000000,160000.000000,467960.788649,406540.312169,406542.382169,205585.051590,159997.930000,35327.119108,3.529040,500000000,0.000411,34286104.781324,0.778257
case_5x30,ga_greedy_only,3,1,205585.051590,159997.930000,100000.000000,68000.000000,217063.333830,14655.611718,10934.596170,10853.166692,0.007503,500000000,0.000029,14611568.857012,0.746103
case_5x30,ga_greedy_only,4,0,300000.000000,200000.000000,703902.759052,567570.429497,621571.505801,190951.496676,145998.923696,31078.575290,3.697735,500000000,0.000382,48861258.858234,0.764586
case_5x30,ga_greedy_only,4,1,190951.496676,145998.923696,100000.000000,61143.197518,187746.406306,27243.190562,19395.714908,9387.320315,1.066161,500000000,0.000054,19225943.575289,0.711947
