instance_name,algorithm_name,supplier_id,total_purchase_qty,purchase_share,cumulative_purchase_share,rank
case_5x30,ga_greedy_only,29,2191574.101359,0.389136,0.389136,1
case_5x30,ga_greedy_only,15,728125.598704,0.129286,0.518422,2
case_5x30,ga_greedy_only,19,412198.780291,0.073190,0.591612,3
case_5x30,ga_greedy_only,16,200000.000000,0.035512,0.627124,4
case_5x30,ga_greedy_only,18,200000.000000,0.035512,0.662636,5
case_5x30,ga_greedy_only,25,200000.000000,0.035512,0.698148,6
case_5x30,ga_greedy_only,24,200000.000000,0.035512,0.733660,7
case_5x30,ga_greedy_only,23,200000.000000,0.035512,0.769172,8
case_5x30,ga_greedy_only,21,200000.000000,0.035512,0.804684,9
case_5x30,ga_greedy_only,20,200000.000000,0.035512,0.840196,10
case_5x30,ga_greedy_only,17,200000.000000,0.035512,0.875708,11
case_5x30,ga_greedy_only,14,200000.000000,0.035512,0.911220,12
case_5x30,ga_greedy_only,22,199999.000000,0.035512,0.946732,13
case_5x30,ga_greedy_only,13,199999.000000,0.035512,0.982244,14
case_5x30,ga_greedy_only,4,100000.000000,0.017756,1.000000,15
case_5x30,ga_greedy_only,28,0.000000,0.000000,1.000000,16
case_5x30,ga_greedy_only,27,0.000000,0.000000,1.000000,17
case_5x30,ga_greedy_only,26,0.000000,0.000000,1.000000,18
case_5x30,ga_greedy_only,2,0.000000,0.000000,1.000000,19
case_5x30,ga_greedy_only,3,0.000000,0.000000,1.000000,20
case_5x30,ga_greedy_only,1,0.000000,0.000000,1.000000,21
case_5x30,ga_greedy_only,12,0.000000,0.000000,1.000000,22
case_5x30,ga_greedy_only,11,0.000000,0.000000,1.000000,23
case_5x30,ga_greedy_only,10,0.000000,0.000000,1.000000,24
case_5x30,ga_greedy_only,9,0.000000,0.000000,1.000000,25
case_5x30,ga_greedy_only,8,0.000000,0.000000,1.000000,26
case_5x30,ga_greedy_only,7,0.000000,0.000000,1.000000,27
case_5x30,ga_greedy_only,6,0.000000,0.000000,1.000000,28
case_5x30,ga_greedy_only,5,0.000000,0.000000,1.000000,29
case_5x30,ga_greedy_only,0,0.000000,0.000000,1.000000,30
