instance_name,algorithm_name,supplier_id,total_purchase_qty,total_iron_qty,purchase_share,iron_share,served_base_count,served_period_count,average_purchase_qty_per_active_period,supplier_grade,average_price,average_transport_cost_weighted,average_unit_iron_cost_weighted,is_long_contract_supplier,long_contract_min_qty,long_contract_surplus,reached_discount_threshold
case_5x30,ga_greedy_only,0,0.000000,0.000000,0.000000,0.000000,0,0,,0.540000,,,,0,,,0
case_5x30,ga_greedy_only,1,0.000000,0.000000,0.000000,0.000000,0,0,,0.490000,,,,0,,,0
case_5x30,ga_greedy_only,2,0.000000,0.000000,0.000000,0.000000,0,0,,0.340000,,,,0,,,0
case_5x30,ga_greedy_only,3,0.000000,0.000000,0.000000,0.000000,0,0,,0.620000,,,,0,,,0
case_5x30,ga_greedy_only,4,100000.000000,61000.000000,0.017756,0.013527,1,1,100000.000000,0.610000,874.415834,26.000000,1476.091531,0,,,0
case_5x30,ga_greedy_only,5,0.000000,0.000000,0.000000,0.000000,0,0,,0.650000,,,,0,,,0
case_5x30,ga_greedy_only,6,0.000000,0.000000,0.000000,0.000000,0,0,,0.370000,,,,0,,,0
case_5x30,ga_greedy_only,7,0.000000,0.000000,0.000000,0.000000,0,0,,0.310000,,,,0,,,0
case_5x30,ga_greedy_only,8,0.000000,0.000000,0.000000,0.000000,0,0,,0.320000,,,,0,,,0
case_5x30,ga_greedy_only,9,0.000000,0.000000,0.000000,0.000000,0,0,,0.420000,,,,0,,,0
case_5x30,ga_greedy_only,10,0.000000,0.000000,0.000000,0.000000,0,0,,0.260000,,,,0,,,0
case_5x30,ga_greedy_only,11,0.000000,0.000000,0.000000,0.000000,0,0,,0.450000,,,,0,,,0
case_5x30,ga_greedy_only,12,0.000000,0.000000,0.000000,0.000000,0,0,,0.260000,,,,0,,,0
case_5x30,ga_greedy_only,13,199999.000000,151999.240000,0.035512,0.033708,2,2,99999.500000,0.760000,921.264059,10.883530,1226.509987,0,,,0
case_5x30,ga_greedy_only,14,200000.000000,52000.000000,0.035512,0.011532,2,2,100000.000000,0.260000,969.083757,11.000000,3769.552910,1,200000.000000,-0.000000,0
case_5x30,ga_greedy_only,15,728125.598704,677156.806794,0.129286,0.150168,3,2,364062.799352,0.930000,853.538614,12.029198,930.718078,1,200000.000000,528125.598704,0
case_5x30,ga_greedy_only,16,200000.000000,136000.000000,0.035512,0.030160,2,2,100000.000000,0.680000,835.743087,13.881716,1249.448239,1,200000.000000,0.000000,0
case_5x30,ga_greedy_only,17,200000.000000,158000.000000,0.035512,0.035038,2,2,100000.000000,0.790000,819.590558,20.249081,1063.088150,1,200000.000000,0.000000,0
case_5x30,ga_greedy_only,18,200000.000000,90000.000000,0.035512,0.019959,1,2,100000.000000,0.450000,903.103676,17.025968,2044.732542,1,200000.000000,0.000000,0
case_5x30,ga_greedy_only,19,412198.780291,317393.060824,0.073190,0.070386,2,1,412198.780291,0.770000,835.890603,17.748267,1108.621910,1,200000.000000,212198.780291,0
case_5x30,ga_greedy_only,20,200000.000000,77895.873645,0.035512,0.017274,2,2,100000.000000,0.389479,929.167176,19.500000,2435.731525,1,200000.000000,0.000000,0
case_5x30,ga_greedy_only,21,200000.000000,134362.958692,0.035512,0.029797,2,2,100000.000000,0.671815,954.886726,16.500000,1445.914462,1,200000.000000,0.000000,0
case_5x30,ga_greedy_only,22,199999.000000,163260.017366,0.035512,0.036205,2,2,99999.500000,0.816304,852.307440,16.000015,1063.705771,1,200000.000000,-1.000000,0
case_5x30,ga_greedy_only,23,200000.000000,151101.556362,0.035512,0.033509,2,2,100000.000000,0.755508,870.790584,16.000000,1173.767637,1,200000.000000,0.000000,0
case_5x30,ga_greedy_only,24,200000.000000,122286.395037,0.035512,0.027119,1,2,100000.000000,0.611432,932.997030,23.000000,1563.537840,1,200000.000000,0.000000,0
case_5x30,ga_greedy_only,25,200000.000000,108992.206779,0.035512,0.024170,1,2,100000.000000,0.544961,935.280496,21.000000,1754.768574,1,200000.000000,0.000000,0
case_5x30,ga_greedy_only,26,0.000000,0.000000,0.000000,0.000000,0,0,,0.637902,,,,0,,,0
case_5x30,ga_greedy_only,27,0.000000,0.000000,0.000000,0.000000,0,0,,0.337051,,,,0,,,0
case_5x30,ga_greedy_only,28,0.000000,0.000000,0.000000,0.000000,0,0,,0.306272,,,,0,,,0
case_5x30,ga_greedy_only,29,2191574.101359,2107886.472911,0.389136,0.467450,5,2,1095787.050680,0.961814,872.407720,16.403046,924.098466,0,,,1
