instance_name,algorithm_name,base_id,period,total_purchase_qty,total_iron_qty,weighted_average_grade,min_required_grade,grade_surplus,average_unit_iron_cost,high_grade_purchase_share,low_grade_purchase_share,low_unit_iron_cost_purchase_share,high_unit_iron_cost_purchase_share,high_grade_threshold,unit_iron_cost_threshold
case_5x30,manual,ALL,ALL,6038455.784865,4958538.968109,0.821160,,,1099.191231,0.900637,0.099363,0.900637,0.099363,0.543751,1994.720761
case_5x30,manual,0,ALL,2275381.458055,1970265.778498,0.865906,0.300000,0.565906,1032.399657,0.934077,0.065923,0.934077,0.065923,0.543751,1994.720761
case_5x30,manual,1,ALL,861236.909836,618583.976060,0.718251,0.300000,0.418251,1266.494925,0.825832,0.174168,0.825832,0.174168,0.543751,1994.720761
case_5x30,manual,2,ALL,1176545.020454,969417.752179,0.823953,0.300000,0.523953,1084.541478,0.915005,0.084995,0.915005,0.084995,0.543751,1994.720761
case_5x30,manual,3,ALL,724740.670722,607279.632632,0.837927,0.300000,0.537927,1086.172795,0.931010,0.068990,0.931010,0.068990,0.543751,1994.720761
case_5x30,manual,4,ALL,1000551.725797,792991.828740,0.792555,0.300000,0.492555,1162.512602,0.850083,0.149917,0.850083,0.149917,0.543751,1994.720761
case_5x30,manual,0,0,473489.018128,349161.611816,0.737423,0.300000,0.437423,1204.460500,0.841601,0.158399,0.841601,0.158399,0.543751,1994.720761
case_5x30,manual,0,1,1801892.439927,1621104.166682,0.899668,0.300000,0.599668,995.340323,0.958377,0.041623,0.958377,0.041623,0.543751,1994.720761
case_5x30,manual,1,0,376015.231286,258510.990052,0.687501,0.300000,0.387501,1308.359268,0.800540,0.199460,0.800540,0.199460,0.543751,1994.720761
case_5x30,manual,1,1,485221.678551,360072.986009,0.742079,0.300000,0.442079,1236.438816,0.845431,0.154569,0.845431,0.154569,0.543751,1994.720761
case_5x30,manual,2,0,564622.705512,462714.557705,0.819511,0.300000,0.519511,1073.122099,0.911445,0.088555,0.911445,0.088555,0.543751,1994.720761
case_5x30,manual,2,1,611922.314942,506703.194474,0.828052,0.300000,0.528052,1094.969502,0.918290,0.081710,0.918290,0.081710,0.543751,1994.720761
case_5x30,manual,3,0,457461.200644,406542.382169,0.888693,0.300000,0.588693,1048.048668,0.945351,0.054649,0.945351,0.054649,0.543751,1994.720761
case_5x30,manual,3,1,267279.470078,200737.250463,0.751039,0.300000,0.451039,1163.383542,0.906465,0.093535,0.906465,0.093535,0.543751,1994.720761
case_5x30,manual,4,0,731047.025056,621571.505801,0.850248,0.300000,0.550248,1083.183378,0.897407,0.102593,0.897407,0.102593,0.543751,1994.720761
case_5x30,manual,4,1,269504.700741,171420.322939,0.636057,0.300000,0.336057,1450.161025,0.721712,0.278288,0.721712,0.278288,0.543751,1994.720761
