instance_name,algorithm_name,base_id,period,ending_inventory_iron,safety_stock,ending_inventory_weight,capacity
case_5x30,manual,0,0,169000.000000,44008.080591,238034.926789,500000000
case_5x30,manual,0,1,138000.000000,42605.208334,157258.991877,500000000
case_5x30,manual,1,0,119000.000000,14475.549503,167794.292423,500000000
case_5x30,manual,1,1,88000.000000,19553.649300,119951.254034,500000000
case_5x30,manual,2,0,169000.000000,34685.727885,220488.950383,500000000
case_5x30,manual,2,1,138000.000000,26885.159724,170004.752907,500000000
case_5x30,manual,3,0,160000.000000,35327.119108,202621.720309,500000000
case_5x30,manual,3,1,143673.916633,10853.166692,187151.574634,500000000
case_5x30,manual,4,0,200000.000000,31078.575290,250993.861831,500000000
case_5x30,manual,4,1,183673.916633,9387.320315,257395.741927,500000000
