instance_name,algorithm_name,base_id,period,beginning_inventory_weight,beginning_inventory_iron,purchase_qty,purchase_iron_qty,production_demand,ending_inventory_weight,ending_inventory_iron,safety_stock,safety_stock_redundancy,capacity,capacity_utilization,inventory_cost,weighted_average_grade_after_purchase
case_5x30,manual,0,0,300000.000000,200000.000000,473489.018128,349161.611816,380161.611816,238034.926789,169000.000000,44008.080591,2.840204,500000000,0.000476,26587648.407760,0.709980
case_5x30,manual,0,1,238034.926789,169000.000000,1801892.439927,1621104.166682,1652104.166682,157258.991877,138000.000000,42605.208334,2.239041,500000000,0.000315,63256240.090495,0.877533
case_5x30,manual,1,0,200000.000000,150000.000000,376015.231286,258510.990052,289510.990052,167794.292423,119000.000000,14475.549503,7.220759,500000000,0.000336,25261935.472703,0.709202
case_5x30,manual,1,1,167794.292423,119000.000000,485221.678551,360072.986009,391072.986009,119951.254034,88000.000000,19553.649300,3.500439,500000000,0.000240,28583639.106769,0.733631
case_5x30,manual,2,0,300000.000000,200000.000000,564622.705512,462714.557705,493714.557705,220488.950383,169000.000000,34685.727885,3.872321,500000000,0.000441,33184820.007167,0.766478
case_5x30,manual,2,1,220488.950383,169000.000000,611922.314942,506703.194474,537703.194474,170004.752907,138000.000000,26885.159724,4.132943,500000000,0.000340,35703593.239001,0.811742
case_5x30,manual,3,0,260000.000000,160000.000000,457461.200644,406542.382169,406542.382169,202621.720309,160000.000000,35327.119108,3.529098,500000000,0.000405,33645481.009187,0.789649
case_5x30,manual,3,1,202621.720309,160000.000000,267279.470078,200737.250463,217063.333830,187151.574634,143673.916633,10853.166692,12.237972,500000000,0.000374,27862810.743798,0.767687
case_5x30,manual,4,0,300000.000000,200000.000000,731047.025056,621571.505801,621571.505801,250993.861831,200000.000000,31078.575290,5.435301,500000000,0.000502,55486563.692333,0.796832
case_5x30,manual,4,1,250993.861831,200000.000000,269504.700741,171420.322939,187746.406306,257395.741927,183673.916633,9387.320315,18.566171,500000000,0.000515,37210519.920040,0.713586
