instance_name,algorithm_name,supplier_id,total_purchase_qty,total_iron_qty,purchase_share,iron_share,served_base_count,served_period_count,average_purchase_qty_per_active_period,supplier_grade,average_price,average_transport_cost_weighted,average_unit_iron_cost_weighted,is_long_contract_supplier,long_contract_min_qty,long_contract_surplus,reached_discount_threshold
case_5x30,manual,0,0.000000,0.000000,0.000000,0.000000,0,0,,0.540000,,,,0,,,0
case_5x30,manual,1,0.000000,0.000000,0.000000,0.000000,0,0,,0.490000,,,,0,,,0
case_5x30,manual,2,0.000000,0.000000,0.000000,0.000000,0,0,,0.340000,,,,0,,,0
case_5x30,manual,3,0.000000,0.000000,0.000000,0.000000,0,0,,0.620000,,,,0,,,0
case_5x30,manual,4,0.000000,0.000000,0.000000,0.000000,0,0,,0.610000,,,,0,,,0
case_5x30,manual,5,0.000000,0.000000,0.000000,0.000000,0,0,,0.650000,,,,0,,,0
case_5x30,manual,6,0.000000,0.000000,0.000000,0.000000,0,0,,0.370000,,,,0,,,0
case_5x30,manual,7,0.000000,0.000000,0.000000,0.000000,0,0,,0.310000,,,,0,,,0
case_5x30,manual,8,0.000000,0.000000,0.000000,0.000000,0,0,,0.320000,,,,0,,,0
case_5x30,manual,9,0.000000,0.000000,0.000000,0.000000,0,0,,0.420000,,,,0,,,0
case_5x30,manual,10,0.000000,0.000000,0.000000,0.000000,0,0,,0.260000,,,,0,,,0
case_5x30,manual,11,0.000000,0.000000,0.000000,0.000000,0,0,,0.450000,,,,0,,,0
case_5x30,manual,12,0.000000,0.000000,0.000000,0.000000,0,0,,0.260000,,,,0,,,0
case_5x30,manual,13,0.000000,0.000000,0.000000,0.000000,0,0,,0.760000,,,,0,,,0
case_5x30,manual,14,200000.000000,52000.000000,0.033121,0.010487,4,2,100000.000000,0.260000,969.083757,15.500000,3786.860602,1,200000.000000,0.000000,0
case_5x30,manual,15,1638339.721679,1523655.941161,0.271318,0.307279,3,2,819169.860839,0.930000,872.184679,12.234971,950.988871,1,200000.000000,1438339.721679,1
case_5x30,manual,16,200000.000000,136000.000000,0.033121,0.027427,5,2,100000.000000,0.680000,835.743087,15.305373,1251.541852,1,200000.000000,0.000000,0
case_5x30,manual,17,200000.000000,158000.000000,0.033121,0.031864,3,2,100000.000000,0.790000,819.590558,23.998775,1067.834598,1,200000.000000,0.000000,0
case_5x30,manual,18,200000.000000,90000.000000,0.033121,0.018151,4,2,100000.000000,0.450000,903.103676,17.019476,2044.718116,1,200000.000000,0.000000,0
case_5x30,manual,19,200000.000000,154000.000000,0.033121,0.031058,4,2,100000.000000,0.770000,893.450796,18.490869,1184.339824,1,200000.000000,0.000000,0
case_5x30,manual,20,200000.000000,77895.873645,0.033121,0.015709,4,2,100000.000000,0.389479,929.167176,21.000000,2439.582821,1,200000.000000,0.000000,0
case_5x30,manual,21,200000.000000,134362.958692,0.033121,0.027097,5,2,100000.000000,0.671815,954.886726,16.000000,1445.170210,1,200000.000000,0.000000,0
case_5x30,manual,22,400117.504153,326617.586471,0.066262,0.065870,5,2,200058.752076,0.816304,838.722859,19.485667,1051.334245,1,200000.000000,200117.504153,0
case_5x30,manual,23,200000.000000,151101.556362,0.033121,0.030473,4,2,100000.000000,0.755508,870.790584,18.500000,1177.076670,1,200000.000000,0.000000,0
case_5x30,manual,24,200000.000000,122286.395037,0.033121,0.024662,3,2,100000.000000,0.611432,932.997030,22.333333,1562.447503,1,200000.000000,0.000000,0
case_5x30,manual,25,200000.000000,108992.206779,0.033121,0.021981,3,2,100000.000000,0.544961,935.280496,14.000000,1741.923619,1,200000.000000,0.000000,0
case_5x30,manual,26,0.000000,0.000000,0.000000,0.000000,0,0,,0.637902,,,,0,,,0
case_5x30,manual,27,0.000000,0.000000,0.000000,0.000000,0,0,,0.337051,,,,0,,,0
case_5x30,manual,28,0.000000,0.000000,0.000000,0.000000,0,0,,0.306272,,,,0,,,0
case_5x30,manual,29,1999998.559033,1923626.449962,0.331210,0.387942,3,2,999999.279517,0.961814,889.794820,16.590890,942.371173,0,,,1
