supplier_count,method,cost_mean,cost_std,gap_to_lower_bound_pct_mean,runtime_sec_mean,feasible_rate,run_count
20,ga_greedy_only,4561149595.430803,52930411.559940,12.635160,17.006683,1.000000,5
20,lower_bound,4049490040.329042,,0.000000,,,1
20,manual,4869993775.898880,,20.261903,0.058926,1.000000,1
25,ga_greedy_only,4788633268.868563,77186649.718751,10.844042,24.778325,1.000000,5
25,lower_bound,4320153968.798217,,0.000000,,,1
25,manual,4964863825.485628,,14.923307,0.086453,1.000000,1
30,ga_greedy_only,4827646586.934799,29185199.418289,11.559171,35.401468,1.000000,5
30,lower_bound,4327431395.237278,,0.000000,,,1
30,manual,5035813547.806973,,16.369576,0.120487,1.000000,1
35,ga_greedy_only,4744192266.252704,119459491.328738,9.677292,47.820191,1.000000,5
35,lower_bound,4325592094.288836,,0.000000,,,1
35,manual,5093979406.077240,,17.763749,0.162645,1.000000,1
40,ga_greedy_only,4678042724.463180,39012764.118033,13.014125,63.429985,1.000000,5
40,lower_bound,4139343414.003549,,0.000000,,,1
40,manual,5004698969.423949,,20.905624,0.206642,1.000000,1
45,ga_greedy_only,4788918985.745387,145292647.050365,14.051786,88.894716,1.000000,5
45,lower_bound,4198898739.947599,,0.000000,,,1
45,manual,5080180274.964648,,20.988397,0.249646,1.000000,1
50,ga_greedy_only,4924093040.327856,134956416.417187,14.503000,109.276471,1.000000,5
50,lower_bound,4300405246.599867,,0.000000,,,1
50,manual,5191909654.871111,,20.730707,0.301398,1.000000,1
