supplier_count,algorithm_name,best_cost_mean,best_cost_std,best_cost_min,best_cost_max,gap_mean,gap_std,runtime_mean,runtime_std,iter_to_final_mean,feasible_rate,selected_supplier_count_mean,reached_discount_threshold_count_mean,total_discount_amount_mean,discount_saving_rate_mean
20,ga_greedy_only,4561149595.430802,52930411.559940,4505588179.676794,4636372034.921332,12.635160,1.307088,17.006683,0.279716,1320.000000,1.000000,7.400000,1.000000,191564690.661180,0.043495
20,manual,4869993775.898880,,4869993775.898880,4869993775.898880,20.261903,,0.058926,,0.000000,1.000000,6.000000,0.000000,138607605.379344,0.030037
25,ga_greedy_only,4788633268.868563,77186649.718751,4708003721.568555,4893030172.425281,10.844042,1.786664,24.778325,2.196703,1040.000000,1.000000,12.000000,0.800000,156281454.211416,0.034251
25,manual,4964863825.485628,,4964863825.485628,4964863825.485628,14.923307,,0.086453,,0.000000,1.000000,11.000000,0.000000,169665142.144231,0.035898
30,ga_greedy_only,4827646586.934799,29185199.418289,4795957503.286799,4866479366.063195,11.559171,0.674423,35.401468,1.951897,1270.000000,1.000000,15.000000,1.000000,172566722.420156,0.037521
30,manual,5035813547.806973,,5035813547.806973,5035813547.806973,16.369576,,0.120487,,0.000000,1.000000,13.000000,1.000000,187877294.339087,0.039128
35,ga_greedy_only,4744192266.252704,119459491.328738,4602934405.245294,4870767157.308873,9.677292,2.761691,47.820191,3.420760,1440.000000,1.000000,16.000000,0.600000,183469765.970821,0.040355
35,manual,5093979406.077240,,5093979406.077240,5093979406.077240,17.763749,,0.162645,,0.000000,1.000000,14.000000,1.000000,184393710.344449,0.038072
40,ga_greedy_only,4678042724.463180,39012764.118032,4629324920.689258,4719615355.480082,13.014125,0.942487,63.429985,5.198320,1270.000000,1.000000,18.000000,0.200000,213005101.906082,0.047440
40,manual,5004698969.423949,,5004698969.423949,5004698969.423949,20.905624,,0.206642,,0.000000,1.000000,16.000000,1.000000,261425706.652656,0.054325
45,ga_greedy_only,4788918985.745387,145292647.050365,4626645619.890475,4982534838.232955,14.051786,3.460256,88.894716,4.166783,1590.000000,1.000000,18.600000,0.000000,192085173.009935,0.042183
45,manual,5080180274.964648,,5080180274.964648,5080180274.964648,20.988397,,0.249646,,0.000000,1.000000,17.000000,1.000000,253875460.791325,0.052164
50,ga_greedy_only,4924093040.327856,134956416.417187,4824684687.148341,5161369423.608986,14.503000,3.138226,109.276471,4.273136,1660.000000,1.000000,20.400000,0.000000,174780896.893823,0.037471
50,manual,5191909654.871111,,5191909654.871111,5191909654.871111,20.730707,,0.301398,,0.000000,1.000000,18.000000,1.000000,245118867.530835,0.049449
