supplier_count,case_id,algorithm_name,random_seed,selected_supplier_count,total_purchase_qty,supplier_period_active_count,reached_discount_threshold_count,total_discount_amount,discount_saving_rate,top1_supplier_share,top3_supplier_share,top5_supplier_share
20,I4_J20,manual,-1,6,5227164.544890,12,0,138607605.379344,0.030037,0.357108,0.870867,0.961738
20,I4_J20,ga_greedy_only,0,7,4850691.715209,11,1,180616926.659656,0.041323,0.578874,0.824219,0.938153
20,I4_J20,ga_greedy_only,1,10,4864292.936680,18,1,165467040.553167,0.037535,0.513922,0.712240,0.814978
20,I4_J20,ga_greedy_only,2,7,4971864.591576,13,1,211130692.624038,0.047042,0.584447,0.839095,0.919547
20,I4_J20,ga_greedy_only,3,7,4839522.329206,13,1,200005391.973214,0.045603,0.537107,0.834694,0.917347
20,I4_J20,ga_greedy_only,4,6,4838261.031858,12,1,200603401.495823,0.045971,0.579251,0.875989,0.958663
25,I4_J25,manual,-1,11,5296192.939636,22,0,169665142.144231,0.035898,0.352453,0.697896,0.773422
25,I4_J25,ga_greedy_only,0,11,4976932.219210,22,1,157069227.858994,0.034884,0.440545,0.678517,0.758888
25,I4_J25,ga_greedy_only,1,12,4980685.090533,21,1,167995766.521199,0.037264,0.546718,0.651121,0.738992
25,I4_J25,ga_greedy_only,2,13,5066062.463843,22,1,148784901.442067,0.032449,0.448674,0.644695,0.723652
25,I4_J25,ga_greedy_only,3,12,5047393.196922,23,1,159214771.982673,0.034777,0.443979,0.663192,0.742441
25,I4_J25,ga_greedy_only,4,12,5198404.867029,22,0,148342603.252148,0.031883,0.399943,0.655355,0.749923
30,I4_J30,manual,-1,13,5240096.341151,26,1,187877294.339087,0.039128,0.381672,0.618328,0.694662
30,I4_J30,ga_greedy_only,0,13,5047185.927064,25,1,177443562.450397,0.038401,0.358619,0.603739,0.682992
30,I4_J30,ga_greedy_only,1,16,5003115.410887,28,1,174584446.097391,0.038069,0.413639,0.540287,0.620237
30,I4_J30,ga_greedy_only,2,14,4981404.581529,27,1,173530511.480177,0.038055,0.420132,0.551925,0.638656
30,I4_J30,ga_greedy_only,3,15,5044880.644366,27,1,172251985.574284,0.037443,0.357602,0.554088,0.643203
30,I4_J30,ga_greedy_only,4,17,5074017.915611,30,1,165023106.498532,0.035639,0.346687,0.527003,0.605836
35,I4_J35,manual,-1,14,5288115.709938,28,1,184393710.344449,0.038072,0.378206,0.583973,0.659614
35,I4_J35,ga_greedy_only,0,15,4970700.204984,26,1,173539584.913204,0.038535,0.310496,0.500610,0.612794
35,I4_J35,ga_greedy_only,1,14,4896397.929192,25,1,183329000.973045,0.041047,0.331311,0.549651,0.632383
35,I4_J35,ga_greedy_only,2,19,5166572.661336,31,1,262031969.997560,0.055716,0.312271,0.422940,0.516120
35,I4_J35,ga_greedy_only,3,17,5023970.648644,32,0,139341012.644375,0.030199,0.324521,0.482360,0.562099
35,I4_J35,ga_greedy_only,4,15,4817539.460645,27,0,159107261.325920,0.036280,0.294014,0.522578,0.605608
40,I4_J40,manual,-1,16,5450252.819181,31,1,261425706.652656,0.054325,0.366955,0.522958,0.596349
40,I4_J40,ga_greedy_only,0,21,5092205.421432,34,0,187391177.619847,0.041552,0.293317,0.410408,0.489416
40,I4_J40,ga_greedy_only,1,18,5038480.743537,32,0,189175029.410099,0.042063,0.251104,0.439957,0.523666
40,I4_J40,ga_greedy_only,2,16,5078511.803774,32,0,206404538.341097,0.045864,0.312650,0.488039,0.566802
40,I4_J40,ga_greedy_only,3,16,5121450.942403,29,1,279899027.075875,0.062240,0.403507,0.511857,0.589960
40,I4_J40,ga_greedy_only,4,19,5023046.761935,32,0,202155737.083493,0.045482,0.333305,0.441659,0.522203
45,I4_J45,manual,-1,17,5520545.831435,33,1,253875460.791325,0.052164,0.348414,0.492804,0.565260
45,I4_J45,ga_greedy_only,0,17,5030298.405495,32,0,197273413.969128,0.044644,0.321472,0.460514,0.542771
45,I4_J45,ga_greedy_only,1,18,5327766.726737,32,0,215627978.897738,0.046141,0.273622,0.456887,0.549530
45,I4_J45,ga_greedy_only,2,23,5285181.760478,38,0,127282737.532103,0.027158,0.216691,0.367099,0.451296
45,I4_J45,ga_greedy_only,3,17,5088021.665230,32,0,199468627.963123,0.044116,0.267640,0.426407,0.528304
45,I4_J45,ga_greedy_only,4,18,5128171.474378,32,0,220773106.687583,0.048857,0.284916,0.441765,0.531997
50,I4_J50,manual,-1,18,5599362.721484,35,1,245118867.530835,0.049449,0.328077,0.464225,0.535661
50,I4_J50,ga_greedy_only,0,19,5244723.940067,34,0,194437933.965904,0.041716,0.248479,0.424501,0.504264
50,I4_J50,ga_greedy_only,1,19,5190128.579059,34,0,170313423.671976,0.036848,0.224959,0.413724,0.493686
50,I4_J50,ga_greedy_only,2,19,5179599.498454,36,0,195827725.044616,0.042585,0.266200,0.392753,0.478724
50,I4_J50,ga_greedy_only,3,27,5443692.061876,42,0,118987423.416287,0.024633,0.177766,0.281612,0.357055
50,I4_J50,ga_greedy_only,4,18,5271907.369470,34,0,194337978.370331,0.041572,0.240217,0.449490,0.525788
