supplier_count,case_id,algorithm_name,random_seed,status,error_message,best_cost,lower_bound,gap_to_lower_bound_pct,runtime_sec,iter_to_final_solution,max_iter,population_size,final_feasible,selected_supplier_count,total_purchase_qty,supplier_period_active_count,reached_discount_threshold_count,total_discount_amount,discount_saving_rate,top1_supplier_share,top3_supplier_share,top5_supplier_share
20,I4_J20,manual,-1,success,,4869993775.898880,4049490040.329042,20.261903,0.058926,0,0,,True,6,5227164.544890,12,0,138607605.379344,0.030037,0.357108,0.870867,0.961738
20,I4_J20,ga_greedy_only,0,success,,4545466263.611274,4049490040.329042,12.247869,16.992140,1500,2000,200.000000,True,7,4850691.715209,11,1,180616926.659656,0.041323,0.578874,0.824219,0.938153
20,I4_J20,ga_greedy_only,1,success,,4592380846.060574,4049490040.329042,13.406399,17.349672,750,2000,200.000000,True,10,4864292.936680,18,1,165467040.553167,0.037535,0.513922,0.712240,0.814978
20,I4_J20,ga_greedy_only,2,success,,4636372034.921332,4049490040.329042,14.492738,17.218101,1750,2000,200.000000,True,7,4971864.591576,13,1,211130692.624038,0.047042,0.584447,0.839095,0.919547
20,I4_J20,ga_greedy_only,3,success,,4525940652.884037,4049490040.329042,11.765694,16.688333,1200,2000,200.000000,True,7,4839522.329206,13,1,200005391.973214,0.045603,0.537107,0.834694,0.917347
20,I4_J20,ga_greedy_only,4,success,,4505588179.676794,4049490040.329042,11.263101,16.785171,1400,2000,200.000000,True,6,4838261.031858,12,1,200603401.495823,0.045971,0.579251,0.875989,0.958663
25,I4_J25,manual,-1,success,,4964863825.485628,4320153968.798217,14.923307,0.086453,0,0,,True,11,5296192.939636,22,0,169665142.144231,0.035898,0.352453,0.697896,0.773422
25,I4_J25,ga_greedy_only,0,success,,4708003721.568555,4320153968.798217,8.977684,26.917477,1450,2000,200.000000,True,11,4976932.219210,22,1,157069227.858994,0.034884,0.440545,0.678517,0.758888
25,I4_J25,ga_greedy_only,1,success,,4716586274.211498,4320153968.798217,9.176347,25.362611,1550,2000,200.000000,True,12,4980685.090533,21,1,167995766.521199,0.037264,0.546718,0.651121,0.738992
25,I4_J25,ga_greedy_only,2,success,,4818898732.036355,4320153968.798217,11.544606,26.592725,550,2000,200.000000,True,13,5066062.463843,22,1,148784901.442067,0.032449,0.448674,0.644695,0.723652
25,I4_J25,ga_greedy_only,3,success,,4806647444.101125,4320153968.798217,11.261022,21.878287,800,2000,200.000000,True,12,5047393.196922,23,1,159214771.982673,0.034777,0.443979,0.663192,0.742441
25,I4_J25,ga_greedy_only,4,success,,4893030172.425281,4320153968.798217,13.260551,23.140525,850,2000,200.000000,True,12,5198404.867029,22,0,148342603.252148,0.031883,0.399943,0.655355,0.749923
30,I4_J30,manual,-1,success,,5035813547.806973,4327431395.237278,16.369576,0.120487,0,0,,True,13,5240096.341151,26,1,187877294.339087,0.039128,0.381672,0.618328,0.694662
30,I4_J30,ga_greedy_only,0,success,,4839167986.658694,4327431395.237278,11.825412,36.543886,1700,2000,200.000000,True,13,5047185.927064,25,1,177443562.450397,0.038401,0.358619,0.603739,0.682992
30,I4_J30,ga_greedy_only,1,success,,4801167827.477464,4327431395.237278,10.947289,37.753001,1200,2000,200.000000,True,16,5003115.410887,28,1,174584446.097391,0.038069,0.413639,0.540287,0.620237
30,I4_J30,ga_greedy_only,2,success,,4795957503.286799,4327431395.237278,10.826887,35.230086,850,2000,200.000000,True,14,4981404.581529,27,1,173530511.480177,0.038055,0.420132,0.551925,0.638656
30,I4_J30,ga_greedy_only,3,success,,4835460251.187843,4327431395.237278,11.739732,34.935105,1400,2000,200.000000,True,15,5044880.644366,27,1,172251985.574284,0.037443,0.357602,0.554088,0.643203
30,I4_J30,ga_greedy_only,4,success,,4866479366.063195,4327431395.237278,12.456534,32.545261,1200,2000,200.000000,True,17,5074017.915611,30,1,165023106.498532,0.035639,0.346687,0.527003,0.605836
35,I4_J35,manual,-1,success,,5093979406.077240,4325592094.288836,17.763749,0.162645,0,0,,True,14,5288115.709938,28,1,184393710.344449,0.038072,0.378206,0.583973,0.659614
35,I4_J35,ga_greedy_only,0,success,,4709193499.923009,4325592094.288836,8.868183,42.149469,1350,2000,200.000000,True,15,4970700.204984,26,1,173539584.913204,0.038535,0.310496,0.500610,0.612794
35,I4_J35,ga_greedy_only,1,success,,4672471644.068954,4325592094.288836,8.019239,50.469924,1550,2000,200.000000,True,14,4896397.929192,25,1,183329000.973045,0.041047,0.331311,0.549651,0.632383
35,I4_J35,ga_greedy_only,2,success,,4870767157.308873,4325592094.288836,12.603478,50.524546,1600,2000,200.000000,True,19,5166572.661336,31,1,262031969.997560,0.055716,0.312271,0.422940,0.516120
35,I4_J35,ga_greedy_only,3,success,,4865594624.717392,4325592094.288836,12.483899,47.614798,1050,2000,200.000000,True,17,5023970.648644,32,0,139341012.644375,0.030199,0.324521,0.482360,0.562099
35,I4_J35,ga_greedy_only,4,success,,4602934405.245294,4325592094.288836,6.411661,48.342216,1650,2000,200.000000,True,15,4817539.460645,27,0,159107261.325920,0.036280,0.294014,0.522578,0.605608
40,I4_J40,manual,-1,success,,5004698969.423949,4139343414.003549,20.905624,0.206642,0,0,,True,16,5450252.819181,31,1,261425706.652656,0.054325,0.366955,0.522958,0.596349
40,I4_J40,ga_greedy_only,0,success,,4719615355.480082,4139343414.003549,14.018454,61.964588,650,2000,200.000000,True,21,5092205.421432,34,0,187391177.619847,0.041552,0.293317,0.410408,0.489416
40,I4_J40,ga_greedy_only,1,success,,4697857664.451073,4139343414.003549,13.492822,72.160006,1350,2000,200.000000,True,18,5038480.743537,32,0,189175029.410099,0.042063,0.251104,0.439957,0.523666
40,I4_J40,ga_greedy_only,2,success,,4699215854.723060,4139343414.003549,13.525634,58.436807,1450,2000,200.000000,True,16,5078511.803774,32,0,206404538.341097,0.045864,0.312650,0.488039,0.566802
40,I4_J40,ga_greedy_only,3,success,,4629324920.689258,4139343414.003549,11.837179,63.347334,1750,2000,200.000000,True,16,5121450.942403,29,1,279899027.075875,0.062240,0.403507,0.511857,0.589960
40,I4_J40,ga_greedy_only,4,success,,4644199826.972428,4139343414.003549,12.196534,61.241191,1150,2000,200.000000,True,19,5023046.761935,32,0,202155737.083493,0.045482,0.333305,0.441659,0.522203
45,I4_J45,manual,-1,success,,5080180274.964648,4198898739.947599,20.988397,0.249646,0,0,,True,17,5520545.831435,33,1,253875460.791325,0.052164,0.348414,0.492804,0.565260
45,I4_J45,ga_greedy_only,0,success,,4626645619.890475,4198898739.947599,10.187121,83.075462,1650,2000,200.000000,True,17,5030298.405495,32,0,197273413.969128,0.044644,0.321472,0.460514,0.542771
45,I4_J45,ga_greedy_only,1,success,,4892628229.839499,4198898739.947599,16.521701,92.406032,1350,2000,200.000000,True,18,5327766.726737,32,0,215627978.897738,0.046141,0.273622,0.456887,0.549530
45,I4_J45,ga_greedy_only,2,success,,4982534838.232955,4198898739.947599,18.662896,92.716938,1650,2000,200.000000,True,23,5285181.760478,38,0,127282737.532103,0.027158,0.216691,0.367099,0.451296
45,I4_J45,ga_greedy_only,3,success,,4740693084.766923,4198898739.947599,12.903249,90.073984,1750,2000,200.000000,True,17,5088021.665230,32,0,199468627.963123,0.044116,0.267640,0.426407,0.528304
45,I4_J45,ga_greedy_only,4,success,,4702093155.997084,4198898739.947599,11.983962,86.201165,1550,2000,200.000000,True,18,5128171.474378,32,0,220773106.687583,0.048857,0.284916,0.441765,0.531997
50,I4_J50,manual,-1,success,,5191909654.871111,4300405246.599867,20.730707,0.301398,0,0,,True,18,5599362.721484,35,1,245118867.530835,0.049449,0.328077,0.464225,0.535661
50,I4_J50,ga_greedy_only,0,success,,4885189666.013952,4300405246.599867,13.598356,113.197857,1950,2000,200.000000,True,19,5244723.940067,34,0,194437933.965904,0.041716,0.248479,0.424501,0.504264
50,I4_J50,ga_greedy_only,1,success,,4863201056.364632,4300405246.599867,13.087041,113.363387,1500,2000,200.000000,True,19,5190128.579059,34,0,170313423.671976,0.036848,0.224959,0.413724,0.493686
50,I4_J50,ga_greedy_only,2,success,,4824684687.148341,4300405246.599867,12.191396,103.809145,1700,2000,200.000000,True,19,5179599.498454,36,0,195827725.044616,0.042585,0.266200,0.392753,0.478724
50,I4_J50,ga_greedy_only,3,success,,5161369423.608986,4300405246.599867,20.020536,109.985712,1200,2000,200.000000,True,27,5443692.061876,42,0,118987423.416287,0.024633,0.177766,0.281612,0.357055
50,I4_J50,ga_greedy_only,4,success,,4886020368.503369,4300405246.599867,13.617673,106.026252,1950,2000,200.000000,True,18,5271907.369470,34,0,194337978.370331,0.041572,0.240217,0.449490,0.525788
